Player Combo,isTwoPlayer,Minutes,Off Min,Def Min,Off Poss,Def Poss,Total Possessions,rel_PM_p40,On-Off_PMp40,ORTG,DRTG,Net_RTG,On-Off,PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,Plus_Minus,Off-Court PM_p40,Off-Court ORTG,Off-Court DRTG,Off-Court Net_RTG,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
SD-SN-DP-KJ,False,1.76,0.917,0.843,4,3,7,108.129,98.703,175.0,133.333,41.667,84.524,68.182,95.635,22.944,72.691,3,-30.521,114.286,157.143,-42.857,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-EF-AM7-MH,False,1.73,1.293,0.437,5,3,8,-6.296,-46.243,0.0,66.667,-66.667,33.333,-46.243,-79.365,-43.723,-35.642,-2,0.0,100.0,200.0,-100.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SD-SN-KJ,False,1.707,0.802,0.905,3,4,7,110.259,125.533,200.0,75.0,125.0,205.556,70.312,120.635,-35.39,156.025,3,-55.22,75.0,155.556,-80.556,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SD-SN-AM7,False,1.707,0.802,0.905,3,4,7,110.259,138.077,200.0,75.0,125.0,125.0,70.312,120.635,-35.39,156.025,3,-67.765,150.0,150.0,0.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-AM7-KJ,False,1.707,0.802,0.905,3,4,7,110.259,138.077,200.0,75.0,125.0,125.0,70.312,120.635,-35.39,156.025,3,-67.765,150.0,150.0,0.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SI-AM7-KJ,False,1.677,0.633,1.043,2,5,7,39.947,0.0,0.0,0.0,0.0,0.0,0.0,-79.365,-110.39,31.025,0,0.0,0.0,0.0,0.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SI-EF-KJ-MH,False,1.567,0.0,1.567,0,4,4,-87.713,123.837,0.0,125.0,-125.0,15.0,-127.66,-79.365,14.61,-93.975,-5,-251.497,0.0,140.0,-140.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-SI-EF-MH,False,1.567,0.0,1.567,0,4,4,-87.713,-67.155,0.0,125.0,-125.0,-208.333,-127.66,-79.365,14.61,-93.975,-5,-60.504,200.0,116.667,83.333,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-DP-IK-MH,False,1.565,0.838,0.727,3,2,5,65.506,474.157,66.667,50.0,16.667,216.667,25.559,-12.698,-60.39,47.691,1,-448.598,0.0,200.0,-200.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-DP-MH,False,1.565,0.838,0.727,3,2,5,65.506,79.796,66.667,50.0,16.667,59.524,25.559,-12.698,-60.39,47.691,1,-54.237,100.0,142.857,-42.857,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
