#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
43,2,P3,,"Defense, Unsuccessful",,,0:06.4,,,3:06.18,3:12.56,Live,,,,,"#02 Mari Somvichian, #13 Ivana Krajina, #24 Kayla Jones, #04 Allison Clarke, #55 Maya Hernandez",,,
44,9,P3,,"Offense, Unsuccessful",,,0:20.2,,,3:12.56,3:32.79,Live,,,,,"#02 Mari Somvichian, #55 Maya Hernandez, #04 Allison Clarke, #13 Ivana Krajina, #24 Kayla Jones, Transition",,,
45,2,P3,,"Unsuccessful, Defense",,,0:05.9,,,3:32.79,3:38.65,Live,,,,,"#55 Maya Hernandez, #13 Ivana Krajina, #04 Allison Clarke, #24 Kayla Jones, #02 Mari Somvichian",,,
46,2,P3,,"Successful, Offense",,,0:33.1,,,3:38.65,4:11.73,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #24 Kayla Jones, #13 Ivana Krajina, #55 Maya Hernandez, Transition",,,
47,9,P3,,"Offense, Unsuccessful",,,0:18.1,,,4:43.80,5:01.92,Live,,,,,"#02 Mari Somvichian, #13 Ivana Krajina, #0 Sarah Deng, #11 Erica Finney, #07 Ana Milanovic, Half-court",,,
48,@-8-2,P3,,"Unsuccessful, Defense, Allow Middle, Allow O-Board",,,0:15.1,,,5:03.12,5:18.25,Live,,,,,"#02 Mari Somvichian, #07 Ana Milanovic, #0 Sarah Deng, #11 Erica Finney, #13 Ivana Krajina",,,
49,),P3,,"Whistle, Offense",,,0:06.5,,,5:18.25,5:24.76,Live,,,,,"#0 Sarah Deng, #07 Ana Milanovic, #02 Mari Somvichian, #11 Erica Finney, #13 Ivana Krajina, Transition",,,
50,3,P3,,"Offense, Successful",,,0:24.5,,,0:48.95,1:13.42,Live,,,,,"#11 Erica Finney, #07 Ana Milanovic, #0 Sarah Deng, #02 Mari Somvichian, #13 Ivana Krajina, Half-court",,,
51,2,P3,,"Defense, Unsuccessful, Allow Paint Touch",,,0:16.6,,,1:13.42,1:29.99,Live,,,,,"#13 Ivana Krajina, #07 Ana Milanovic, #11 Erica Finney, #0 Sarah Deng, #02 Mari Somvichian",,,
52,9,P3,,"Successful, Defense",,,0:09.5,,,2:00.59,2:10.05,Live,,,,,"#55 Maya Hernandez, #02 Mari Somvichian, #0 Sarah Deng, #13 Ivana Krajina, #24 Kayla Jones",,,
