#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
303,,p22,9,"Defense, Stop",,,0:21.6,N/A,N/A,11:03.98,11:25.56,Live,,,,,"#2 Mari Somvichian, #0 Sarah Deng, #24 Kayla Jones, #55 Maya Hernandez, #4 Allison Clarke",,,
304,,p22,9,"Defense, Stop",,,0:10.7,N/A,N/A,12:53.83,13:04.49,Live,,,,,"#55 Maya Hernandez, #4 Allison Clarke, #2 Mari Somvichian, #24 Kayla Jones, #0 Sarah Deng",,,
305,,p22,9,"Defense, Stop, Allow_Middle, Allow_Paint_Touch, Deflection_",,,0:17.6,N/A,N/A,13:43.48,14:01.06,Live,,,,,"#6 Shawnee Nordstrom, #24 Kayla Jones, #3 Danae Powell, #11 Erica Finney, #13 Ivana Krajina",,,
306,,p22,#,"Defense, Stop, Allow_Middle, Allow_Paint_Touch",,,0:18.2,N/A,N/A,14:16.23,14:34.47,Live,,,,,"#3 Danae Powell, #6 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, #11 Erica Finney",,,
307,,p22,9,"Defense, Stop",,,0:08.8,N/A,N/A,14:49.32,14:58.13,Live,,,,,"#6 Shawnee Nordstrom, #3 Danae Powell, #13 Ivana Krajina, #11 Erica Finney, #24 Kayla Jones",,,
308,,p22,2,"Defense, Score, Allow_Middle, Allow_Paint_Touch",,,0:11.9,N/A,N/A,15:22.29,15:34.20,Live,,,,,"#13 Ivana Krajina, #6 Shawnee Nordstrom, #11 Erica Finney, #55 Maya Hernandez, #3 Danae Powell",,,
309,,p22,2,"Defense, Score",,,0:09.9,N/A,N/A,17:22.29,17:32.15,Live,,,,,"#55 Maya Hernandez, #6 Shawnee Nordstrom, #3 Danae Powell, #13 Ivana Krajina, #11 Erica Finney",,,
310,,p22,0-1-1,"Defense, Stop, Allow_Middle, Allow_Paint_Touch",,,0:13.6,N/A,N/A,17:40.22,17:53.86,Live,,,,,"#55 Maya Hernandez, #3 Danae Powell, #6 Shawnee Nordstrom, #13 Ivana Krajina, #11 Erica Finney",,,
311,,p22,),"Defense, Whistle, Deflection_",,,0:09.1,N/A,N/A,19:04.25,19:13.32,Live,,,,,"#13 Ivana Krajina, #6 Shawnee Nordstrom, #3 Danae Powell, #55 Maya Hernandez, #11 Erica Finney",,,
312,,p22,2,"Defense, Score",,,0:09.4,N/A,N/A,19:32.02,19:41.42,Live,,,,,"#6 Shawnee Nordstrom, #24 Kayla Jones, #55 Maya Hernandez, #3 Danae Powell, #13 Ivana Krajina",,,
