#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
45,#-8-),P5,,"Defense, Allow Middle",,,0:19.0,,,0:00.32,0:19.36,Live,,,,,"#02 Mari Somvichian, #55 Maya Hernandez, #07 Ana Milanovic, #0 Sarah Deng, #04 Allison Clarke",,,
46,9,P5,,Offense,,,0:18.7,,,0:22.73,0:41.40,Live,,,,,"#55 Maya Hernandez, #0 Sarah Deng, #07 Ana Milanovic, #04 Allison Clarke, #02 Mari Somvichian, Transition",,,
47,2,P5,,Offense,,,0:11.3,,,1:35.79,1:47.13,Live,,,,,"#04 Allison Clarke, #07 Ana Milanovic, #02 Mari Somvichian, #55 Maya Hernandez, #0 Sarah Deng, Half-court",,,
48,3,P5,,"Defense, Allow UC 3",,,0:17.6,,,1:47.13,2:04.70,Live,,,,,"#55 Maya Hernandez, #04 Allison Clarke, #07 Ana Milanovic, #0 Sarah Deng, #02 Mari Somvichian",,,
49,9,P5,,Offense,,,0:20.4,,,2:04.70,2:25.14,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #07 Ana Milanovic, #04 Allison Clarke, #55 Maya Hernandez, Transition",,,
50,3,P5,,Offense,,,0:11.9,,,0:00.13,0:12.03,Live,,,,,"#06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, #0 Sarah Deng, #11 Erica Finney, Half-court",,,
51,#,P5,,"Defense, Allow UC 3",,,0:21.8,,,1:08.39,1:30.22,Live,,,,,"#55 Maya Hernandez, #06 Shawnee Nordstrom, #11 Erica Finney, #13 Ivana Krajina, #0 Sarah Deng",,,
52,#,P5,,Offense,,,0:18.6,,,1:30.22,1:48.82,Live,,,,,"#0 Sarah Deng, #13 Ivana Krajina, #55 Maya Hernandez, #11 Erica Finney, #06 Shawnee Nordstrom, Transition",,,
53,),P5,,Offense,,,0:10.9,,,0:07.83,0:18.76,Live,,,,,"#55 Maya Hernandez, #11 Erica Finney, #13 Ivana Krajina, #0 Sarah Deng, #06 Shawnee Nordstrom, Half-court",,,
54,2,P5,,Offense,,,0:14.4,,,0:51.66,1:06.06,Live,,,,,"#06 Shawnee Nordstrom, #13 Ivana Krajina, #0 Sarah Deng, #11 Erica Finney, #55 Maya Hernandez, Half-court",,,
55,9,P5,,Offense,,,0:08.1,,,1:27.64,1:35.75,Live,,,,,"#55 Maya Hernandez, #0 Sarah Deng, #13 Ivana Krajina, #06 Shawnee Nordstrom, #11 Erica Finney, Half-court",,,
56,9,P5,,Defense,,,0:01.7,,,1:35.75,1:37.50,Live,,,,,"#0 Sarah Deng, #11 Erica Finney, #13 Ivana Krajina, #06 Shawnee Nordstrom, #55 Maya Hernandez",,,
57,2,P5,,Offense,,,0:18.9,,,1:37.50,1:56.35,Live,,,,,"#0 Sarah Deng, #11 Erica Finney, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, Half-court",,,
58,),P5,,Defense,,,0:13.0,,,1:56.35,2:09.40,Live,,,,,"#55 Maya Hernandez, #0 Sarah Deng, #11 Erica Finney, #06 Shawnee Nordstrom, #13 Ivana Krajina",,,
59,2,P5,,"Defense, Allow Paint Touch",,,0:11.7,,,0:00.10,0:11.83,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #55 Maya Hernandez, #13 Ivana Krajina, #11 Erica Finney",,,
60,9,P5,,Offense,,,0:12.4,,,0:11.83,0:24.23,Live,,,,,"#55 Maya Hernandez, #06 Shawnee Nordstrom, #0 Sarah Deng, #13 Ivana Krajina, #11 Erica Finney, Transition",,,
61,#,P5,,Offense,,,0:21.1,,,0:31.72,0:52.86,Live,,,,,"#11 Erica Finney, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, #0 Sarah Deng, Half-court",,,
62,@-8-),P6,,"Defense, Allow Paint Touch",,,0:17.4,,,4:12.42,4:29.80,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones",,,
63,),P6,,Defense,,,0:20.5,,,4:55.02,5:15.55,Live,,,,,"#03 Danae Powell, #08 Shanayka Ismar, #22 Ali'a Matavao, #30 Janay Brantley, #55 Maya Hernandez",,,
64,@,P6,,"Defense, Allow Paint Touch, Allow Middle",,,0:15.8,,,5:24.96,5:40.76,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #06 Shawnee Nordstrom, #07 Ana Milanovic, #11 Erica Finney",,,
65,3,P6,,Defense,,,0:13.7,,,5:45.65,5:59.40,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #06 Shawnee Nordstrom, #07 Ana Milanovic, #11 Erica Finney",,,
66,@,P6,,"Defense, Allow Paint Touch",,,0:15.0,,,6:31.89,6:46.92,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #03 Danae Powell, #08 Shanayka Ismar, #24 Kayla Jones",,,
67,2,P6,,"Defense, Allow Paint Touch",,,0:18.8,,,6:53.36,7:12.19,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #03 Danae Powell, #08 Shanayka Ismar, #24 Kayla Jones",,,
68,),P6,,Defense,,,0:11.3,,,0:08.45,0:19.75,Live,,,,,"#04 Allison Clarke, #06 Shawnee Nordstrom, #22 Ali'a Matavao, #30 Janay Brantley, #55 Maya Hernandez",,,
69,9,P6,,Defense,,,0:16.9,,,1:01.21,1:18.12,Live,,,,,"#04 Allison Clarke, #06 Shawnee Nordstrom, #22 Ali'a Matavao, #30 Janay Brantley, #55 Maya Hernandez",,,
70,9,P6,,"Defense, Allow Paint Touch",,,0:12.6,,,0:23.85,0:36.49,Live,,,,,"#02 Mari Somvichian, #03 Danae Powell, #07 Ana Milanovic, #11 Erica Finney, #13 Ivana Krajina",,,
