Week,PossessionID,Side,Notes,HeightSortedLineup,IncompleteResult,Duration,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FOUL,PTS,Team_DefPoss,Team_AllowMiddle,Team_AllowPaintTouch,Team_AllowUC3,Team_AllowOBoard,Team_Deflections
1,93,Defense,P4,MS-DP-AC-EF-AM7,True,0:12.5,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
1,94,Defense,P4,MS-DP-AC-EF-AM7,False,0:08.7,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
1,95,Offense,P4,SD-SN-IK-KJ-MH,False,0:17.4,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False
1,96,Offense,P4,SD-SN-IK-KJ-MH,False,0:18.9,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False
1,97,Defense,P4,SD-SN-IK-KJ-MH,True,0:07.4,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
1,98,Defense,P4,SD-SN-SI-A'M-JB,False,0:13.5,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,True
1,99,Defense,P4,SD-SN-SI-A'M-JB,False,0:17.4,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
1,100,Defense,P4,SD-SN-SI-A'M-JB,False,0:14.9,0,0,0,0,0,0,0,0,0,0,True,False,True,False,False,False
1,101,Defense,P4,MS-DP-AC-EF-AM7,False,0:11.5,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
1,102,Defense,P4,MS-DP-AC-EF-AM7,False,0:12.6,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
1,103,Defense,P4,SD-SN-IK-KJ-MH,True,0:07.1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
1,104,Defense,P4,SD-SN-IK-KJ-MH,False,0:09.1,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
1,105,Offense,P4,SD-SN-IK-KJ-MH,False,0:07.4,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False
1,106,Offense,P4,SD-SN-IK-KJ-MH,False,0:12.9,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
1,107,Defense,P4,SD-SN-IK-KJ-MH,False,0:19.1,0,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False
1,108,Offense,P4,SD-SN-IK-KJ-MH,False,0:18.7,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False
1,109,Defense,P4,SD-SN-IK-KJ-MH,True,0:07.3,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
1,110,Defense,P4,SD-SN-IK-KJ-MH,False,0:12.6,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
1,111,Offense,P4,MS-DP-AC-EF-AM7,False,0:15.9,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False
1,112,Offense,P4,MS-DP-AC-EF-AM7,False,0:24.4,0,0,0,0,2,1,0,0,0,1,False,False,False,False,False,False
1,113,,P4,MS-DP-AC-EF-AM7,True,0:04.1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,114,Offense,P4,SD-SN-IK-KJ-MH,False,0:32.3,1,0,1,0,0,0,0,1,0,0,False,False,False,False,False,False
1,115,Defense,P4,SD-SN-IK-KJ-MH,False,0:06.8,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
1,116,Offense,P4,SD-SN-IK-KJ-MH,False,0:14.4,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
1,117,Offense,P4,MS-DP-AC-EF-AM7,False,0:15.8,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
1,118,Offense,P4,MS-DP-AC-EF-AM7,False,0:26.8,2,1,0,0,0,0,0,1,0,2,False,False,False,False,False,False
1,119,Defense,P4,MS-DP-AC-EF-AM7,True,0:11.8,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
1,120,Defense,P4,MS-DP-AC-EF-AM7,False,0:24.2,0,0,1,0,0,0,0,1,1,0,True,False,True,False,True,False
1,121,Defense,P4,MS-DP-AC-EF-AM7,False,0:20.6,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,True
1,122,Offense,P4,MS-DP-AC-EF-AM7,False,0:14.5,1,1,1,0,0,0,0,1,0,2,False,False,False,False,False,False
1,123,Defense,P4,MS-DP-AC-EF-AM7,False,0:13.4,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
1,124,Offense,P4,SD-SI-IK-KJ-MH,True,0:17.4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,125,Offense,P4,SD-SI-IK-KJ-MH,False,0:23.4,1,0,1,0,0,0,0,1,0,0,False,False,False,False,False,False
1,126,Defense,P4,SD-SI-IK-KJ-MH,False,0:14.1,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
1,127,Offense,P4,SD-SI-IK-KJ-MH,True,0:08.2,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,128,Offense,P4,SD-SI-IK-KJ-MH,False,0:16.0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False
1,129,Offense,P4,SD-SI-IK-KJ-MH,False,0:13.0,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False
1,130,Defense,P4,SD-SI-IK-KJ-MH,False,0:11.4,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
1,131,Offense,P4,SD-SI-IK-KJ-MH,False,0:06.9,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
1,132,Offense,P4,MS-DP-AC-EF-AM7,False,0:19.9,1,0,1,0,0,0,0,1,0,0,False,False,False,False,False,False
1,133,Defense,P4,MS-DP-AC-EF-AM7,False,0:07.9,1,1,0,0,0,0,0,0,0,2,True,True,True,False,False,False
1,134,Offense,P4,MS-DP-AC-EF-AM7,False,0:13.6,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False
1,135,Defense,P4,MS-DP-AC-EF-AM7,False,0:07.8,1,0,0,0,0,0,0,0,0,0,True,False,True,False,False,False
1,136,Offense,P4,MS-DP-AC-EF-AM7,True,0:07.4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,137,Offense,P4,MS-DP-AC-EF-AM7,False,0:15.0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
1,138,Defense,P4,MS-DP-AC-EF-AM7,False,0:06.9,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
1,139,Offense,P4,MS-DP-AC-EF-AM7,False,0:10.8,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,140,Defense,P4,MS-DP-AC-EF-AM7,True,0:06.0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
1,141,Offense,P4,SD-SN-IK-KJ-MH,False,0:11.5,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
1,142,Defense,P4,SD-SN-IK-KJ-MH,False,0:06.1,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
1,143,Offense,P4,SD-SN-IK-KJ-MH,False,0:25.4,0,0,1,0,0,0,1,1,0,0,False,False,False,False,False,False
1,144,Defense,P4,SD-SN-IK-KJ-MH,False,0:07.7,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
1,145,Offense,P4,SD-SN-IK-KJ-MH,False,0:05.2,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
1,146,Defense,P4,SD-SN-IK-KJ-MH,False,0:23.0,0,0,1,0,0,0,0,0,0,0,True,False,False,True,False,False
